2490996271000,-0.00555,0.01995,-0.00951,0.71738,0.69632,0.02246,0.00023,-0.01572,0.05106,-0.00562,
2491096262000,0.10135,0.17846,-0.00462,0.72683,0.68595,0.00899,-0.03348,0.20488,0.35155,0.05671,
2491196253000,0.12588,0.22460,-0.01945,0.73760,0.67352,0.01984,-0.04379,0.24675,0.40755,0.02226,
2491296243000,0.14854,0.26152,-0.01821,0.75387,0.65438,0.02617,-0.05275,0.30693,0.44744,0.02688,
2491396234000,0.15504,0.29753,-0.03198,0.76259,0.64359,0.02927,-0.05814,0.30489,0.51122,0.02078,
2491496225000,0.18060,0.34776,-0.04948,0.77890,0.62199,0.04072,-0.06918,0.28155,0.58031,-0.00238,
2491596216000,0.21970,0.40672,-0.06302,0.79004,0.60739,0.04734,-0.06828,0.32510,0.65565,0.00206,
2491696207000,0.24672,0.46370,-0.04348,0.78504,0.61531,0.04302,-0.05716,0.30360,0.65933,0.01578,
2491796198000,0.28646,0.53415,-0.03897,0.78420,0.61689,0.04012,-0.05349,0.28431,0.68131,-0.00964,
2491896189000,0.32808,0.60877,-0.03752,0.78180,0.62049,0.03660,-0.04936,0.27900,0.68678,-0.05387,
2491996179000,0.35219,0.68227,-0.03673,0.78128,0.62105,0.03791,-0.04956,0.27082,0.72156,0.02303,
2492096170000,0.38905,0.75882,-0.03057,0.77786,0.62522,0.03880,-0.05028,0.26853,0.72841,0.07886,
2492196161000,0.41498,0.82847,-0.02314,0.77219,0.63262,0.03630,-0.04680,0.29195,0.72758,0.09784,
2492296152000,0.43905,0.90040,-0.01492,0.76983,0.63648,0.02725,-0.03887,0.29830,0.73830,0.07682,
2492396143000,0.46873,1.01491,0.01789,0.76540,0.64201,0.02595,-0.03617,0.32744,0.82039,0.04508,
2492496134000,0.51435,1.10209,0.02378,0.76301,0.64535,0.02009,-0.03038,0.35204,0.87261,0.01134,
2492596125000,0.54846,1.21413,0.04609,0.75922,0.64982,0.02259,-0.02841,0.36763,0.94970,0.04724,
2492696115000,0.58403,1.30837,0.04957,0.75775,0.65145,0.02976,-0.02332,0.35611,0.98608,0.07218,
2492796106000,0.62107,1.40141,0.05128,0.75913,0.64997,0.03205,-0.01521,0.36720,1.01521,0.02834,
2492896097000,0.63169,1.49400,0.06482,0.76949,0.63785,0.02950,-0.01275,0.30846,1.00721,-0.01326,
2492996088000,0.66716,1.59773,0.06186,0.77595,0.62976,0.03203,-0.01680,0.31687,1.00006,-0.08382,
2493096079000,0.69867,1.71512,0.04880,0.77426,0.63072,0.04328,-0.02908,0.30377,1.01973,-0.02844,
2493196070000,0.71531,1.81506,0.05115,0.77764,0.62647,0.04272,-0.03137,0.34313,1.04073,0.12500,
2493296061000,0.74155,1.92407,0.06972,0.78008,0.62341,0.03823,-0.03707,0.39536,1.03147,0.14473,
2493396051000,0.78674,2.08381,0.03977,0.78511,0.61770,0.02712,-0.03636,0.40372,1.06353,0.06208,
2493496042000,0.81661,2.19992,0.04415,0.78694,0.61421,0.03709,-0.04578,0.41561,1.08272,0.04899,
2493596033000,0.86745,2.32370,0.04626,0.78321,0.61839,0.04000,-0.05077,0.45486,1.09101,0.12136,
2493696024000,0.91695,2.42885,0.05943,0.78182,0.62031,0.04563,-0.04353,0.43523,1.08225,0.20230,
